		      macrog_T310_nb50	C36_T303_nb40	Slipids_T3010_nb40	Berger T298_nb60
					
gamma		0	 1.72E-10	9.08E-11	1.53E-10	4.64E-10
	    	0.5	 1.71E-10	6.97E-11	1.34E-10	1.57E-10
	    	delta	 7.03E-13	2.11E-11	1.91E-11	3.06E-10
beta		0	 1.66E-09	3.80E-10	3.74E-10	7.93E-10
	    	0.5	 2.68E-09	3.97E-10	2.60E-10	4.03E-10
	    	delta	-1.03E-09	-1.78E-11	1.15E-10	3.91E-10
alpha		0	 1.68E-09	3.87E-10	4.50E-10	1.84E-09
	    	0.5	 2.90E-09	2.65E-10	4.26E-10	6.84E-10
	   	delta	-1.22E-09	1.22E-10	2.43E-11	1.15E-09
g3	  	0	 5.73E-09	2.34E-09	4.41E-09	4.93E-09
	    	0.5	 1.54E-08	7.98E-09	5.59E-09	8.77E-09
	        delta	-9.72E-09	-5.63E-09	-1.18E-09	-3.83E-09
g2	 	0	 7.25E-09	3.30E-09	3.19E-09	6.24E-09
	    	0.5	 2.17E-08	1.18E-08	4.50E-09	7.25E-09
	    	delta	-1.44E-08	-8.45E-09	-1.31E-09	-1.01E-09
g1	  	0	 6.29E-09	4.28E-09	3.24E-09	6.34E-09
	    	0.5	  2.00E-08	1.39E-08	4.38E-09	7.35E-09
	    	delta	 -1.37E-08	-9.58E-09	-1.14E-09	-1.01E-09
