#		Teff (from area)					
#		macrog_T310_nb50	C36_T300_nb30	C36_T303_nb40	Slipids_T3010_nb40	Lipid14_T303_nb31	Berger T298_nb60
gamma	1	1.72E-10	8.31E-11	9.08E-11	1.53E-10	2.81E-11	4.64E-10
beta	2	1.66E-09	3.64E-10	3.80E-10	3.74E-10	1.89E-10	7.93E-10
alpha	3	1.68E-09	3.64E-10	3.87E-10	4.50E-10	3.55E-10	1.84E-09
g3	4	5.73E-09	2.36E-09	2.34E-09	4.41E-09	3.85E-09	4.93E-09
g2	5	7.25E-09	2.89E-09	3.30E-09	3.19E-09	4.24E-09	6.24E-09
G1_1	6	6.29E-09	4.19E-09	4.28E-09	3.24E-09	5.26E-09	6.34E-09
							
#palmitoyl							
	2	1.72E-09	1.15E-09	1.14E-09	8.77E-10	1.02E-09	1.95E-09
	3	7.32E-10	5.66E-10	6.05E-10	5.35E-10	7.08E-10	9.80E-10
	4	4.50E-10	3.83E-10	4.13E-10	3.87E-10	6.92E-10	9.48E-10
	5	4.77E-10	3.42E-10	3.98E-10	3.24E-10	5.46E-10	5.13E-10
	6	4.70E-10	3.29E-10	3.68E-10	3.03E-10	5.48E-10	4.70E-10
	7	4.23E-10	2.70E-10	3.22E-10	2.49E-10	4.37E-10	2.92E-10
	8	3.84E-10	2.47E-10	2.85E-10	2.36E-10	4.07E-10	2.49E-10
	9	3.37E-10	2.11E-10	2.49E-10	2.08E-10	3.41E-10	1.69E-10
	10	2.99E-10	1.79E-10	2.16E-10	1.92E-10	3.03E-10	1.51E-10
	11	2.54E-10	1.47E-10	1.80E-10	1.71E-10	2.51E-10	1.03E-10
	12	2.18E-10	1.17E-10	1.46E-10	1.51E-10	1.93E-10	8.12E-11
	13	1.79E-10	8.49E-11	1.13E-10	1.34E-10	1.40E-10	5.62E-11
	14	1.51E-10	5.87E-11	8.15E-11	1.21E-10	9.54E-11	3.94E-11
	15	1.20E-10	3.51E-11	5.32E-11	1.09E-10	5.27E-11	2.63E-11
	16	1.01E-10	1.38E-11	2.35E-11	1.00E-10	1.57E-11	4.46E-11
							
							
#oleonyl	
  2	2.70E-09	1.90E-09	2.05E-09	2.05E-09	1.88E-09	1.98E-09
	3	1.19E-09	6.15E-10	7.69E-10	9.13E-10	8.52E-10	9.60E-10
	4	5.75E-10	3.94E-10	5.54E-10	6.82E-10	8.31E-10	8.97E-10
	5	4.99E-10	3.87E-10	5.68E-10	4.89E-10	6.14E-10	5.38E-10
	6	4.20E-10	3.07E-10	4.37E-10	4.00E-10	5.14E-10	4.72E-10
	7	3.82E-10	2.75E-10	3.77E-10	3.18E-10	4.36E-10	3.20E-10
	8	2.94E-10	2.12E-10	2.54E-10	2.76E-10	3.42E-10	2.56E-10
	9	3.11E-10	2.28E-10	2.67E-10	2.56E-10	3.24E-10	2.18E-10
	10	2.66E-10	1.72E-10	2.00E-10	2.20E-10	3.00E-10	3.42E-10
	11	2.09E-10	1.30E-10	1.58E-10	1.73E-10	2.14E-10	7.06E-11
	12	2.12E-10	1.33E-10	1.69E-10	1.71E-10	2.20E-10	7.61E-11
	13	1.96E-10	1.19E-10	1.61E-10	1.57E-10	1.84E-10	6.19E-11
	14	1.97E-10	1.12E-10	1.54E-10	1.50E-10	1.76E-10	5.80E-11
	15	1.69E-10	8.42E-11	1.09E-10	1.35E-10	1.19E-10	4.43E-11
	16	1.46E-10	6.29E-11	8.74E-11	1.22E-10	8.96E-11	3.56E-11
	17	1.22E-10	3.69E-11	5.60E-11	1.09E-10	4.57E-11	2.32E-11
	18	1.01E-10	1.42E-11	2.40E-11	1.01E-10	1.48E-11	2.82E-11
